page,country,rev_id,prediction
Diyar Khan Yaqubi,Pakistan,754739349,RevisionNotFound
Arthur Gregorian,Armenia,756697478,RevisionNotFound
Marcelo Cerqueira,Brazil,757313957,RevisionNotFound
Ahmad Balal,Pakistan,757961591,RevisionNotFound
Saifuddin Bohra,Pakistan,758706289,RevisionNotFound
Saleh Al Shal,United Arab Emirates,760194556,RevisionNotFound
Josef Siegele,Austria,760195376,RevisionNotFound
Nikolay Baranov (politician),Russia,761821348,RevisionNotFound
Kalthouma Nguembang,Chad,762816132,RevisionNotFound
Leonora Linter,Estonia,763245610,RevisionNotFound
Elisha Shapiro,United States,763558111,RevisionNotFound
Lennox Farrell,Canada,764019224,RevisionNotFound
Francois Willie Cloete,South Africa,764191934,RevisionNotFound
Obuobia Darko-Opoku,Ghana,764911200,RevisionNotFound
Emmanuel Odoi Lartey,Ghana,765228329,RevisionNotFound
Roozbeh Farahanipour,Iran,765489047,TextDeleted
Zeev Schwartz,Israel,765662083,RevisionNotFound
Jeferson Moreira,Brazil,765717347,RevisionNotFound
Giammarco Montanari,Italy,766101638,RevisionNotFound
Muhammad Abdul Haque,Bangladesh,768013050,RevisionNotFound
Rajat Majumdar,India,768871687,RevisionNotFound
Sheikh Zakaria Ansari,Iran,771213598,RevisionNotFound
Muhammad Yar Khan Mandokhail,Pakistan,771642775,RevisionNotFound
Walter Lee (Louisiana politician),United States,772176512,RevisionNotFound
Mark M. Noble,United States,772567736,RevisionNotFound
Isaura Gomes,Cape Verde,773323473,RevisionNotFound
Hari Bahadur Rai,Nepal,773355081,RevisionNotFound
Viviana Piñeiro,Uruguay,773601556,RevisionNotFound
Khaled Negm,Egypt,774023957,TextDeleted
Phil Hobson,United Kingdom,774293013,RevisionNotFound
John Palino,New Zealand,777163201,RevisionNotFound
Larry Holmes (activist),United States,778388481,RevisionNotFound
Debojeet Thaosen,India,778618827,RevisionNotFound
Jacek Maciej Wenderlich,Poland,779101752,RevisionNotFound
Mohamad Hamim Aliyas,Singapore,779135011,RevisionNotFound
Ina Ambolodto,Philippines,779409209,RevisionNotFound
José Ricardo Salazar,Venezuela,779899001,RevisionNotFound
Chaudhry Zafar Iqbal Warraich,Pakistan,779954797,RevisionNotFound
Rana Assad Amin,Pakistan,779957437,RevisionNotFound
Claudia Pastorino,Italy,781072934,RevisionNotFound
Jama Mohamud Takar,Somalia,781427254,RevisionNotFound
Batul Soltani,Iran,782170063,RevisionNotFound
Marcia Dangremon,Brazil,782508289,RevisionNotFound
Rose Sales,Brazil,783382630,RevisionNotFound
Met Bozi,Albania,784558743,RevisionNotFound
Mariano Lazcano,Spain,786721553,RevisionNotFound
Mian Fareed Abbas Kathia,Pakistan,787181453,RevisionNotFound
Nihal Naj Ali Al-Awlaqi,Yemen,787353922,RevisionNotFound
Abdolmajid Pirzadeh Jahromi,Iran,787391918,RevisionNotFound
Abdul Latif Khalid Cheema,Pakistan,787398581,RevisionNotFound
Abdurahman H. H. Osman 'Mallay',Somalia,787453368,RevisionNotFound
Thoraya Obaid,Saudi Arabia,788037971,RevisionNotFound
Rahul Sinha,India,788289620,RevisionNotFound
Mahesh Kumar,Pakistan,788310383,RevisionNotFound
Vithal Chavan,India,788722110,RevisionNotFound
Jaybahadur Hitan Magar,Nepal,788844423,RevisionNotFound
Amirreza Amirbakhtiar,Iran,788884593,RevisionNotFound
Fernando Linera,Spain,789080627,RevisionNotFound
Andrés Ycaza Mantilla,Ecuador,789150159,RevisionNotFound
Carlo Pezzati,Italy,789262504,RevisionNotFound
Patrick Binder,France,789266166,RevisionNotFound
Harald Haas (Pirate Party),Austria,789271422,RevisionNotFound
Zhang Yuhuan,China,789281061,RevisionNotFound
Saqib Idrees Taj,Pakistan,789285351,RevisionNotFound
Hameeda Waheeduddin,Pakistan,789285762,RevisionNotFound
Zheng Shekui,China,789286413,RevisionNotFound
Prasanna Earnest,India,789444415,RevisionNotFound
Chowdhary Balbir Singh,India,789736824,RevisionNotFound
Arthur C. Watson,United States,789816636,RevisionNotFound
Farouk Sharif,Philippines,790028876,RevisionNotFound
Idoia Zenarrutzabeitia Beldarrain,Spain,790147995,RevisionNotFound
Hrayr Karapetyan,Armenia,790410710,RevisionNotFound
Bill Evans (politician),United States,791429003,RevisionNotFound
Claybourn – Claiborne – Clayborn family,United States,791866288,RevisionNotFound
N. Padmalochanan,India,792184018,RevisionNotFound
Marko Selakovic,Serbia,792400552,RevisionNotFound
Praveen Agrawal,India,792440851,RevisionNotFound
Caleb Crosby,United States,792857662,RevisionNotFound
Draft:John Johansson i Gränö,Sweden,792933603,RevisionNotFound
Tibor Gaal de Hatvan,Hungary,793280504,RevisionNotFound
Chukwuemeka Ihedioha,Nigeria,794311724,TextDeleted
Gregorei Alexandrovich,Russia,794409906,RevisionNotFound
Josh Miller (politician),United States,794768894,RevisionNotFound
List of Ghana heads of state by age,Ghana,794866848,RevisionNotFound
Alfred Moungara Moussotsi,Gabon,794990759,RevisionNotFound
Hari Bhakta Kandel,Nepal,795545202,RevisionNotFound
Fraz Wahlah,Pakistan,795588781,RevisionNotFound
Hovik Jivanyan,Armenia,796744496,RevisionNotFound
Stanford Morse,United States,796758810,RevisionNotFound
Dan Hilton,Canada,797311794,RevisionNotFound
Volodymyr Manzhosov,Ukraine,797902544,RevisionNotFound
Misir Mardanov,Azerbaijan,798073295,RevisionNotFound
Jesse Spikes,United States,798615865,RevisionNotFound
Ramesh Chander Bidhan,India,798841317,RevisionNotFound
Abdullah bin Mohammed Al Thani,United Arab Emirates,798865216,RevisionNotFound
Maria Hadjipavlou,Cyprus,798891126,RevisionNotFound
Kevin Malcolm Everett,United Kingdom,798945915,RevisionNotFound
Darcie Lanthier,Canada,798952867,RevisionNotFound
Morteza Kazemian,Iran,799036953,RevisionNotFound
V. Sadasivan,India,799263010,RevisionNotFound
